#{"t_start": 1646005197.5494184, "env_id": null}
r,l,t
-121.3,319,13877.376831
-81.2,341,13896.159456
-94.6,387,13917.046452
-137.8,355,13937.065448
-62.1,421,13959.339432
-190.0,430,13981.963051
-442.5,497,14011.440891
-83.8,283,14027.841374
-20.8,335,14046.910126
-54.1,350,14064.968416
-202.3,504,14092.299411
-30.5,329,14109.600571
-125.0,324,14128.195334
-210.6,410,14150.414079
-176.7,388,14172.250615
-56.1,357,14190.162593
-111.5,332,14208.830763
-37.2,322,14225.581304
-296.8,501,14252.520028
-231.9,375,14273.6693
-234.3,360,14292.124294
-119.0,322,14309.233306
-85.2,347,14329.45507
-307.9,377,14351.499639
-46.2,455,14374.267779
-78.7,335,14392.808198
-274.6,371,14411.006212
-114.9,326,14428.256204
-161.5,336,14447.942398
-234.1,387,14469.341294
-161.3,371,14487.535343
-210.8,385,14508.586957
-201.2,466,14535.219496
-161.3,349,14553.304218
-7.7,324,14572.008756
-147.2,407,14593.908808
-204.6,382,14614.995811
-195.0,418,14637.760948
-96.3,405,14660.015746
-87.1,371,14678.111817
-266.5,462,14703.182174
-221.6,517,14731.964881
-156.0,432,14756.904361
-55.1,340,14774.258922
-190.0,408,14796.414461
-21.3,294,14812.681761
-323.9,354,14835.865023
-79.6,380,14853.835676
-208.5,457,14878.730682
-396.4,574,14912.26615
-140.2,348,14930.443918
-206.0,441,14956.026981
-257.4,431,14978.071482
-28.1,337,14994.663271
-143.3,310,15012.069988
-69.1,303,15028.581641
-361.3,400,15051.377407
-278.2,437,15077.453988
-130.3,375,15096.150924
-159.5,387,15117.562738
-156.3,457,15144.393772
-125.3,375,15164.648879
-103.1,330,15182.300279
-454.2,459,15209.604916
-57.7,480,15233.614362
-23.0,273,15249.146236
-148.4,432,15272.190907
-36.9,363,15293.228808
-50.4,323,15310.433795
-109.9,380,15331.63236
-140.8,327,15349.159851
-34.3,348,15369.289196
-272.9,435,15393.306199
-65.9,291,15408.474194
-97.7,347,15428.782783
-196.8,359,15447.942085
-57.8,321,15464.842375
-322.1,405,15487.239014
-34.0,320,15506.164857
-128.1,336,15523.475393
-88.0,351,15541.28897
-131.6,377,15561.681985
-109.7,318,15578.734494
-116.4,399,15601.447258
-167.5,321,15620.996351
-65.0,343,15639.023248
-106.1,334,15656.026551
-251.6,365,15676.860344
-113.1,339,15694.108751
-306.9,515,15726.33734
-76.0,375,15746.160278
-316.2,459,15772.755258
-41.7,311,15789.114392
-173.3,366,15809.590693
-95.7,350,15827.323362
-265.7,583,15862.360874
-155.1,338,15880.493073
-158.8,318,15898.884226
-220.0,361,15918.238898
-298.6,396,15941.124545
-169.7,425,15964.482692
-109.7,405,15986.420647
-58.2,310,16006.612522
-128.0,331,16023.916008
-449.0,516,16052.871358
-302.7,392,16074.926484
-192.7,369,16096.014032
-234.4,442,16120.343484
-213.7,396,16141.857852
-122.4,362,16162.497839
-223.5,395,16185.576136
-82.8,349,16203.809003
-330.2,474,16230.238342
-326.1,418,16253.120475
-44.7,340,16270.915941
-192.1,340,16291.862916
-32.4,314,16309.10919
-62.0,312,16325.599408
-24.3,290,16342.407419
-24.4,297,16359.51329
-61.9,305,16375.93046
-237.7,362,16396.657297
-222.9,385,16416.911502
-27.5,314,16436.113049
-72.9,412,16459.145354
-10.3,295,16476.335344
-155.9,405,16498.13043
-96.3,299,16514.41127
-191.2,446,16537.74439
-225.2,395,16559.179646
-152.1,495,16586.320287
-221.8,420,16609.377479
-34.0,351,16630.611284
-19.8,326,16648.229331
-206.9,434,16672.821886
-98.4,450,16699.064226
-62.6,319,16715.689725
-307.5,406,16739.065238
-45.1,315,16756.039139
-208.9,292,16773.123958
-133.6,424,16796.434763
-199.5,331,16817.115311
-84.5,359,16835.70475
5.8,288,16852.087343
-205.0,462,16879.26081
-59.0,302,16896.562607
-9.3,328,16913.963479
-198.7,438,16941.370228
-370.7,440,16965.037214
-225.8,302,16981.46159
-48.1,346,16999.021063
-35.5,327,17018.374243
-127.4,393,17040.270782
-108.4,322,17057.407006
-152.7,356,17077.690478
-381.9,460,17105.314038
-256.0,359,17126.223057
-252.1,396,17148.984184
-260.8,397,17169.488979
-21.6,301,17185.92719
-178.2,372,17207.776131
-141.3,403,17231.001394
-193.5,398,17253.307982
-153.7,344,17273.937011
-81.9,335,17291.158923
-186.4,333,17308.519878
-25.7,283,17325.915266
-176.0,332,17343.366959
-490.9,515,17373.773264
-43.8,386,17395.35594
-190.4,429,17419.851894
-418.1,438,17444.180173
-155.1,449,17470.60089
-19.1,299,17487.878828
-121.7,341,17505.263692
-221.1,467,17532.749796
-60.0,309,17551.02775
-187.8,362,17570.74942
-210.9,443,17596.952942
-134.2,397,17618.893233
-56.8,303,17635.623741
-116.1,303,17652.611739
-34.1,296,17669.270764
-304.1,442,17692.297778
-8.1,323,17711.633747
-81.9,400,17734.112719
-189.7,485,17761.024759
-147.3,311,17779.452457
-364.8,373,17801.86659
-32.2,333,17821.90564
-44.2,305,17838.55367
-67.9,331,17857.097719
-331.1,404,17880.624657
3.5,311,17897.885659
-76.7,338,17916.466634
-22.5,332,17936.622679
-308.5,413,17960.045646
-436.8,488,17989.410071
-33.0,326,18006.799176
-210.5,347,18025.716279
-224.0,406,18051.163588
-44.8,342,18069.641762
-141.6,317,18086.935012
-53.7,368,18108.058642
-190.4,381,18130.594668
-326.7,536,18160.030302
-152.5,389,18181.166586
-194.2,386,18203.742584
-62.8,319,18221.580594
-48.7,336,18238.935506
-237.9,442,18265.613447
-124.1,344,18284.702551
-381.5,436,18311.884497
-28.4,327,18329.986953
-34.3,352,18347.859675
-95.9,358,18369.342876
-92.5,327,18385.586329
-209.3,419,18409.974226
-145.7,363,18431.327795
-269.1,359,18454.705231
-108.7,316,18472.860717
-139.7,298,18490.21314
-315.9,342,18509.238156
-2.3,290,18526.714598
2.3,264,18544.086136
-45.0,327,18561.658606
-218.7,402,18584.131135
-51.8,377,18605.520607
-170.1,384,18628.87332
-131.2,374,18648.168552
-477.6,425,18674.185251
-135.8,379,18693.717354
-164.3,328,18714.035308
-346.6,364,18733.41317
-123.0,298,18750.700109
-148.0,342,18771.33477
-73.0,309,18788.413269
-151.9,342,18806.884392
-216.8,341,18828.153298
-71.8,364,18847.840414
-156.8,355,18869.133282
-263.3,410,18892.262398
-348.2,407,18915.673226
-94.2,335,18933.228155
-44.4,322,18952.832421
-168.8,335,18971.110176
-255.5,469,18999.468208
-207.9,336,19017.533337
-235.4,441,19041.439642
-444.3,447,19069.274198
-231.1,428,19092.550557
-85.3,302,19109.988112
-20.8,293,19126.57313
-332.8,409,19149.870107
-234.7,427,19173.000191
-200.0,355,19194.092244
-338.3,387,19217.528037
-50.9,277,19234.371814
-205.0,347,19252.440358
-177.5,407,19275.317909
-183.4,377,19297.489094
-108.8,318,19315.193378
-159.0,348,19336.02951
-122.6,325,19355.58766
-31.3,308,19373.322842
-24.0,303,19390.047051
-118.2,339,19408.522701
-209.0,353,19431.203135
-7.7,319,19448.441949
-104.3,297,19464.71816
-80.6,309,19481.274992
-194.3,296,19499.109987
-181.0,404,19522.781269
-97.3,324,19541.263152
-256.4,379,19563.824873
-131.9,292,19581.199781
-220.6,393,19603.638055
-29.0,320,19621.3484
-201.2,442,19647.423897
-94.0,397,19668.959148
-324.4,434,19693.467798
-19.7,328,19711.892378
-45.8,396,19734.856933
-134.5,299,19751.979896
-157.5,330,19770.515801
-319.4,419,19796.476729
-38.5,316,19813.564804
-14.7,323,19831.862741
-481.3,360,19852.895781
-306.1,396,19875.064581
-121.0,390,19895.059344
-219.1,437,19921.19332
-310.4,415,19945.291781
-412.3,354,19966.439532
-94.9,306,19983.760135
-68.6,328,20001.83954
-283.1,377,20025.045539
-56.1,418,20048.349666
-17.7,298,20064.812504
-9.7,292,20082.070584
-276.5,414,20106.549236
-106.8,346,20124.601313
-145.1,341,20145.122608
-44.6,298,20162.29645
-71.0,304,20180.312263
-31.2,303,20197.584695
-77.8,302,20214.746458
-66.6,331,20232.486414
0.1,318,20251.275456
-239.7,367,20275.411854
-531.2,460,20304.450475
-77.7,349,20323.504416
-169.3,355,20344.881696
-54.0,297,20361.716391
-158.7,389,20382.288258
-150.2,368,20403.324716
-91.4,328,20421.701851
-80.8,305,20439.193382
-119.7,375,20462.479219
-187.1,331,20482.851556
-209.6,352,20501.310891
-52.4,305,20518.711415
-273.4,346,20540.375072
-305.8,510,20570.187555
-78.6,291,20586.941811
-277.7,403,20609.938617
-120.2,304,20627.023489
-71.4,296,20644.256768
-91.5,411,20666.923394
-205.8,392,20688.833791
-132.2,345,20707.604663
-214.3,422,20732.245327
-247.6,381,20754.291493
21.3,328,20773.233469
-161.6,292,20790.020325
-183.4,320,20809.268159
-268.2,353,20830.597491
1.1,288,20847.098994
-155.4,322,20864.942145
-225.9,272,20882.123053
-104.6,314,20900.458832
-132.6,332,20918.999962
-121.8,359,20940.108479
-214.5,313,20959.214795
-187.0,323,20978.275726
-298.9,416,21002.884796
-63.3,333,21022.175546
-313.4,407,21046.31459
-252.2,329,21065.404233
-64.6,317,21083.451368
-64.2,293,21100.272889
-144.2,312,21118.152999
-61.7,282,21134.699759
-175.4,340,21155.590991
-319.3,441,21183.222919
-392.1,361,21205.340744
-84.8,432,21230.026922
-202.8,356,21249.860974
-149.3,318,21269.916922
-63.1,331,21288.005092
-106.7,362,21309.539571
-166.5,301,21326.383365
-87.7,349,21345.185371
-379.8,376,21366.954101
-186.6,358,21387.252604
-123.2,388,21410.614644
-76.9,376,21434.236799
-158.0,378,21455.954488
-151.4,376,21477.828322
-178.2,339,21496.474684
-382.0,401,21520.263765
-129.2,373,21541.937048
-149.0,377,21561.921128
-128.2,307,21581.285017
-242.8,372,21600.534804
-43.9,314,21616.742012
-119.6,267,21632.933966
-119.6,311,21650.391967
-93.0,295,21667.457529
-150.9,331,21686.385848
-88.2,286,21703.133889
-217.8,349,21724.14812
-45.5,282,21740.293826
-184.1,318,21758.688936
-111.0,293,21775.290939
-130.5,367,21795.073872
-47.9,279,21811.24549
-7.7,318,21828.993906
-246.0,331,21850.018877
-130.8,323,21868.186568
-220.8,310,21886.280919
-256.2,308,21903.754751
-126.3,293,21921.280873
-24.4,280,21937.883806
-319.3,417,21962.245138
-523.1,405,21986.909884
4.8,295,22004.150617
-66.5,308,22021.928752
-190.7,364,22044.13638
-235.8,350,22064.07478
-178.3,344,22087.676664
-412.5,413,22113.516771
-197.7,381,22136.317708
-146.1,376,22158.52285
-115.8,328,22180.048684
-159.5,304,22197.695856
-125.3,328,22216.270988
-84.1,308,22233.508657
-137.2,291,22249.832039
-153.3,344,22269.158691
-79.4,261,22285.3918
-155.1,320,22302.729755
-142.5,338,22322.819656
-37.1,311,22340.159658
-231.6,321,22358.880628
-322.7,416,22381.901616
-226.2,423,22406.72262
-371.7,408,22430.87359
-389.9,453,22459.518609
-128.2,296,22477.049497
-25.2,312,22495.073555
-102.0,331,22513.213578
-360.2,404,22537.659582
-300.1,429,22564.955505
-150.5,303,22582.314538
-271.1,326,22601.560562
-29.2,272,22618.150104
-169.0,295,22636.136905
-223.1,298,22653.811907
-380.0,427,22677.072186
49.7,341,22695.78294
-107.9,295,22712.859458
-202.2,371,22735.586512
-27.3,289,22752.91831
-173.3,420,22777.59037
-66.9,297,22795.034453
-141.2,391,22817.319621
-74.2,305,22834.648403
-94.4,309,22852.111428
-59.3,278,22869.255361
-185.4,305,22887.339411
-202.0,324,22906.878376
-73.8,293,22924.424422
-402.8,352,22946.836911
-281.5,441,22973.012338
-174.6,276,22991.815076
-126.8,287,23009.846139
-71.9,435,23035.299039
-220.8,321,23053.637975
-81.2,279,23070.691282
-93.1,319,23088.163916
-346.2,412,23112.468121
-451.8,347,23133.503087
-10.4,301,23150.985687
-153.8,319,23168.316613
